Подсчет слов:
и: 104
не: 96
в: 75
—: 61
на: 53
что: 52
Наташа: 48
с: 42
это: 27
от: 26
но: 25
она: 23
ей: 22
её: 21
а: 21
к: 21
его: 21
всё: 18
Сёма: 18
он: 16
за: 16
было: 15
Она: 15
они: 15
даже: 14
как: 14
или: 14
когда: 14
лес: 13
у: 12
же: 12
неё: 11
так: 11
да: 11
то: 11
нет: 10
по: 10
Наташу: 10
Но: 10
лесу: 9
была: 9
конечно: 9
хотя: 9
чтобы: 9
И: 9
больше: 9
из: 8
ли: 8
под: 8
их: 8
тогда: 7
совсем: 7
быть: 7
просто: 7
ни: 7
раз: 7
Сёму: 7
него: 7
вообще: 7
Что: 6
Может: 6
перед: 6
ним: 6
вот: 6
теперь: 6
Наташи: 6
при: 6
видела: 6
Ну: 6
чёрту: 6
есть: 6
может: 6
девочка: 6
руки: 5
ноги: 5
Сёмой: 5
растения: 5
Конечно: 5
леса: 5
равно: 5
почти: 5
тоже: 5
пока: 5
увидела: 5
только: 5
собака: 5
ещё: 5
этого: 5
более: 5
У: 5
Наташе: 5
был: 5
приходилось: 5
стороны: 5
ты: 5
ничего: 5
ну: 5
Он: 5
все: 5
сейчас: 5
Это: 5
могла: 5
бы: 5
Почему: 5
другой: 4
упала: 4
ветки: 4
вся: 4
без: 4
если: 4
там: 4
образом: 4
тот: 4
самой: 4
А: 4
своей: 4
Наверное: 4
что-то: 4
либо: 4
них: 4
между: 4
надо: 4
до: 4
плевать: 4
были: 4
показалось: 4
К: 4
потому: 4
Сёмы: 4
ума: 4
сказать: 4
ней: 4
шерсть: 4
хорошо: 3
Её: 3
всегда: 3
можно: 3
Наташей: 3
никакого: 3
собакой: 3
которой: 3
чем: 3
землю: 3
Нет: 3
здесь: 3
эти: 3
места: 3
себя: 3
вокруг: 3
идея: 3
Тем: 3
об: 3
впервые: 3
где: 3
как-то: 3
чуть: 3
после: 3
никогда: 3
лесных: 3
растений: 3
идти: 3
одной: 3
уверена: 3
Если: 3
например: 3
голове: 3
ними: 3
немного: 3
со: 3
произошло: 3
самом: 3
В: 3
дачу: 3
маме: 3
о: 3
потом: 3
лучше: 3
весь: 3
одежду: 3
блин: 3
Не: 3
шла: 3
Да: 3
самого: 3
этот: 3
человек: 3
никто: 3
этом: 3
земле: 3
страшно: 3
кровью: 3
зубами: 3
каждого: 3
рядом: 3
Или: 3
будет: 3
одеждой: 2
теле: 2
лениво: 2
дорожке: 2
изредка: 2
себе: 2
собаку: 2
стебли: 2
свете: 2
волосы: 2
лицо: 2
нежно: 2
листьями: 2
коже: 2
вид: 2
тебя: 2
черёмуха: 2
куда: 2
самые: 2
непроходимые: 2
части: 2
этих: 2
кладбищенского: 2
проводила: 2
удовольствием: 2
человека: 2
Всё: 2
гулять: 2
два: 2
очень: 2
хорошая: 2
нравилось: 2
заросли: 2
ерунда: 2
Однако: 2
прогулки: 2
удивлением: 2
Они: 2
собачников: 2
молодёжи: 2
трава: 2
нос: 2
сторону: 2
порядке: 2
хозяин: 2
самый: 2
Плюша: 2
Мама: 2
интереса: 2
казалось: 2
смотреть: 2
которые: 2
никак: 2
То: 2
дело: 2
интерес: 2
маленький: 2
спасибо: 2
хоть: 2
странно: 2
вечером: 2
собачью: 2
месте: 2
грюнендалиха: 2
поэтому: 2
полностью: 2
неудивительно: 2
странные: 2
оставались: 2
том: 2
мистика: 2
какая: 2
именно: 2
скалятся: 2
значит: 2
углами: 2
тела: 2
рта: 2
темноте: 2
Волосы: 2
кажется: 2
Правда: 2
бегал: 2
совершенно: 2
бояться: 2
один: 2
тел: 2
порой: 2
мысленно: 2
поехала: 2
спустя: 2
которую: 2
реакции: 2
такси: 2
двадцать: 2
случае: 2
домой: 2
сорвалась: 2
искать: 2
мысль: 2
жив: 2
Главное: 2
Сёмочка: 2
Можно: 2
Сейчас: 2
решительно: 2
Деревья: 2
едва: 2
вперёд: 2
снова: 2
мужика: 2
подбородка: 2
кто: 2
знает: 2
понимала: 2
торчат: 2
подошла: 2
чёрт: 2
уже: 2
делать: 2
слышала: 2
крепко: 2
тихий: 2
какой-то: 2
Теперь: 2
Пожалуйста: 2
словами: 2
прежде: 2
шум: 2
словно: 2
хотела: 2
хамить: 2
жутко: 2
нужно: 2
Ей: 2
люди: 2
дальше: 2
разом: 2
сошла: 2
глаза: 2
ударов: 2
вниз: 2
дёрнуть: 2
глазами: 2
споткнулась: 2
умер: 2
нашли: 2
крики: 2
горя: 2
говорила: 2
сидела: 2
ритуальной: 2
службы: 2
взглядом: 2
ответа: 2
Когда: 2
провела: 2
пойти: 2
остаться: 2
пошла: 2
дороге: 2
Девочка: 2
раздался: 2
однозначно: 2
деревья: 2
ж: 2
случилось: 2
Надо: 2
потом…: 2
сон: 2
плакала: 2
зато: 2
тут: 2
возможность: 2
деревьями: 2
Исполосованные: 1
царапинами: 1
рифмовались: 1
ссадинами: 1
лице: 1
порванной: 1
покрытой: 1
пятнами: 1
грязи: 1
сменить: 1
другую: 1
отметины: 1
носили: 1
грозный: 1
неприятный: 1
характер: 1
мыла: 1
кота: 1
парень: 1
Стоп: 1
парня: 1
Объяснение: 1
звучало: 1
невинно: 1
забавно: 1
гуляет: 1
Неугомонный: 1
лопоухий: 1
дворянин: 1
сначала: 1
радости: 1
оттаптывает: 1
хозяйке: 1
свербя: 1
уши: 1
пронзительным: 1
радостным: 1
визгом: 1
затем: 1
носится: 1
танк: 1
преодолевая: 1
возникающие: 1
препятствия: 1
тех: 1
хозяек: 1
трусят: 1
смотря: 1
телефон: 1
лишь: 1
подзывая: 1
важно: 1
знать: 1
жрёт: 1
прости: 1
Господи: 1
падаль: 1
купается: 1
стоячей: 1
воде: 1
булькали: 1
щитни: 1
Расплата: 1
ждала: 1
неминуемо: 1
лозы: 1
фауна: 1
хватала: 1
обжигая: 1
царапая: 1
проводя: 1
одежде: 1
научилась: 1
прикосновению: 1
определять: 1
крапиву: 1
перепутаешь: 1
лещина: 1
касается: 1
кизил: 1
неприятно: 1
деваться: 1
принципиально: 1
залезал: 1
труднодоступные: 1
знакомые: 1
местным: 1
алкашам: 1
другим: 1
